שם יישוב,מחוז
גילון,Northen
גילת,Southern
גינוסר,Northen
גיניגר,Northen
גינתון,Central
גיתה,Northen
גיתית,Judea and Samaria
גלאון,Southern
ג'לג'וליה,Central
גלגל,Judea and Samaria
גליל ים,Tel Aviv
גלעד (אבן יצחק),Northen
גימזו,Central
גמזו,Central
גן הדרום,Central
גינות שומרון,Judea and Samaria
גן השומרון,Haifa
גן חיים,Central
גן יאשיה,Central
גן יבנה,Central
גן נר,Northen
גן שורק,Central
גן שלמה,Central
גן שמואל,Haifa
גנות,Central
גנות הדר,Central
גני הדר,Central
גני טל,Central
גני יוחנן,Central
גני מודיעין,Judea and Samaria
גני עם,Central
גני תקווה,Central
ג'סר א-זרקא,Haifa
געש,Central
געתון,Northen
גפן,Jerusalem
גרופית,Southern
ג'ש (גוש חלב),Northen
גשור,Northen
גשר,Northen
גשר הזיו,Northen
גת בגליל,Northen
גת,Haifa
גת (קיבוץ),Southern
גת רימון,Central
דאלית אל כרמל,Haifa
דבורה,Northen
דבוריה,Northen
דבורייה,Northen
דבירה,Southern
דברת,Northen
דגניה א',Northen
דגניה ב',Northen
"דוב""ב",Northen
דולב,Judea and Samaria
דור,Haifa
דורות,Southern
דחי,Northen
דייר אל-אסד,Northen
דייר חנא,Northen
דייר ראפאת,Jerusalem
דימונה,Southern
דישון,Northen
דליה,Northen
דלייה,Northen
דלתון,Northen
דמיידה,Northen
דן,Northen
דפנה,Northen
דקל,Southern
דריג'את,Southern
האון,Northen
הבונים,Haifa
הגושרים,Northen
הדר עם,Central
הוד השרון,Central
הודיות,Northen
הודייה,Southern
הושעיה,Northen
הזורע,Northen
הזורעים,Northen
החותרים,Haifa
היוגב,Northen
הילה,Northen
המעפיל,Central
המרכז למחקר-נחל שורק,Central
הסוללים,Northen
העוגן,Central
הר אדר,Judea and Samaria
הר גילה,Judea and Samaria
הר עמשא,Southern
הראל,Jerusalem
הרדוף,Northen
הרצליה,Tel Aviv
הררית,Northen
ורד יריחו,Judea and Samaria
ורדון,Southern
זבדיאל,Southern
זוהר,Southern
זובידאת )שבט(,Northen
זיקים,Southern
זיתן,Central
זכרון יעקב,Haifa
זכריה,Jerusalem
זמר,Central
זמרת,Southern
זנוח,Jerusalem
זרועה,Southern
זרזיר,Northen
זרחיה,Southern
חבצלת השרון,Central
חבר,Northen
חגור,Central
חגי,Judea and Samaria
חגלה,Central
חדיד,Central
חד נס,Northen
חדרה,Haifa
ח'ואלד,Haifa
חולדה,Central
חולון,Tel Aviv
חולית,Southern
חולתה,Northen
חוסן,Northen
חוסנייה,Northen
חופית,Central
חוקוק,Northen
חורה,Southern
חורפיש,Northen
חורשים,Central
חזון,Northen
חיבת ציון,Central
חיננית,Judea and Samaria
חיפה,Haifa
חירות,Central
חלוץ,Northen
חלץ,Southern
"חמ""ד",Central
חמאם,Northen
חמדיה,Northen
חמדת,Judea and Samaria
חמרה,Judea and Samaria
חניאל,Central
חניתה,Northen
חנתון,Northen
חספין,Northen
חפץ חיים,Central
חפצי בה,Northen
חצב,Southern
חצבה,Southern
חצור הגלילית,Northen
בת חצור,Southern
חצור אשדוד,Southern
חצרים,Southern
חרב לאת,Central
חרוצים,Central
קציר חריש,Haifa
חריש,Haifa
חרמש,Judea and Samaria
חרשים,Northen
חשמונאים,Judea and Samaria
טבריה,Northen
טובא זנגריה,Northen
טובא-זנגרייה,Northen
טורעאן,Northen
טייבה,Central
טייבה )בעמק(,Northen
טירה,Central
טירת יהודה,Central
טירת כרמל,Haifa
טירת צבי,Northen
טל שחר,Jerusalem
טל אל,Northen
טללים,Southern
טלמון,Judea and Samaria
טמרה,Northen
טמרה (יזרעאל),Northen
טנא,Judea and Samaria
טפחות,Northen
יאנוח-ג'ת,Northen
יבול,Southern
יבנאל,Northen
יבנה,Central
יגור,Haifa
יגל,Central
יד בנימין,Central
יד השמונה,Jerusalem
יד חנה,Central
יד מרדכי,Southern
יד נתן,Southern
"יד רמב""ם",Central
ידידה,Jerusalem
יהוד מונוסון,Central
יהל,Southern
יובל,Northen
יובלים,Northen
יודפת,Northen
יונתן,Northen
יושיביה,Southern
יזרעאל,Northen
יחיעם,Northen
יטבתה,Southern
"ייט""ב",Judea and Samaria
יכיני,Southern
ים המלח - בתי מלון,Southern
ינוב,Central
ינון,Southern
יסוד המעלה,Northen
יסודות,Central
יסעור,Northen
יעד,Northen
יעל,Northen
יעף,Central
יערה,Northen
יפיע,Northen
יפית,Judea and Samaria
יפעת,Northen
יפתח,Northen
יצהר,Judea and Samaria
יציץ,Central
יקום,Central
יקיר,Judea and Samaria
יוקנעם מושבה,Northen
יוקנעם עילית,Northen
יראון,Northen
ירדנה,Northen
ירוחם,Southern
יחד,Northen
ירושלים,Jerusalem
ירחיב,Central
ירכא,Northen
ירקונה,Central
ישע,Southern
ישעי,Jerusalem
ישרש,Central
יתד,Southern
כאבול,Northen
כאוכב אבו אל-היג'א,Northen
כאוכב אבו אל היג'א,Northen
כברי,Northen
כדורי,Northen
כדיתה,Northen
כוכב השחר,Judea and Samaria
כוכב יאיר,Central
כוכב יעקב,Judea and Samaria
כוכב מיכאל,Southern
כורזים,Northen
כחל,Northen
כחלה,Southern
כיסופים,Southern
כישור,Northen
כליל,Northen
כלנית,Northen
כמאנה,Northen
כמהין,Southern
כמון,Northen
כנות,Southern
כנף,Northen
כינרת מושבה,Northen
כנרת מושבה,Northen
כנרת קבוצה,Northen
כסיפה,Southern
כסלון,Jerusalem
כסרא-סמיע,Northen
כעביה טבאש חג'אג'רה,Northen
כעביה-טבאש-חג'אג'רה,Northen
כפר אביב,Central
כפר אדומים,Judea and Samaria
כפר אוריה,Jerusalem
כפר אחים,Southern
כפר ביאליק,Haifa
"כפר ביל""ו",Central
כפר בלום,Northen
כפר בן נון,Central
כפר ברא,Central
כפר ברוך,Northen
כפר גדעון,Northen
כפר גלים,Haifa
כפר גליקסון,Haifa
כפר גלעדי,Northen
כפר דניאל,Central
כפר האורנים,Judea and Samaria
כפר החורש,Northen
כפר המכבי,Haifa
כפר הנגיד,Central
כפר הנוער הדתי,Haifa
כפר הנשיא,Northen
כפר הס,Central
"כפר הרא""ה",Central
"כפר הרי""ף",Southern
כפר ויתקין,Central
כפר ורבורג,Southern
כפר ורדים,Northen
כפר זוהרים,Jerusalem
כפר זיתים,Northen
"כפר חב""ד",Central
כפר חושן,Northen
כפר חיטים,Northen
כפר חיים,Central
כפר חנניה,Northen
כפר חסידים א',Haifa
כפר חסידים ב',Haifa
כפר חרוב,Northen
כפר טרומן,Central
כפר יאסיף,Northen
כפר ידידיה,Central
כפר יהושע,Northen
כפר יונה,Central
כפר יחזקאל,Northen
כפר יעבץ,Central
כפר כמא,Northen
כפר כנא,Northen
כפר מונש,Central
כפר מימון,Southern
"כפר מל""ל",Central
כפר מנדא,Northen
כפר מנחם,Southern
כפר מסריק,Northen
כפר מצר,Northen
כפר מרדכי,Central
כפר נטר,Central
כפר סאלד,Northen
כפר סבא,Central
כפר סילבר,Southern
כפר סירקין,Central
כפר עבודה,Central
כפר עזה,Southern
כפר עציון,Judea and Samaria
כפר פינס,Haifa
כפר קאסם,Central
כפר קיש,Northen
כפר קרע,Haifa
כפר ראש הנקרה,Northen
כפר רוזנואלד (זרעית),Northen
כפר רופין,Northen
כפר רות,Central
כפר שמאי,Northen
כפר שמואל,Central
כפר שמריהו,Tel Aviv
כפר תבור,Northen
כפר תפוח,Judea and Samaria
כרכום,Northen
כרם בן זמרה,Northen
כרם בן שמן,Central
כרם יבנה (ישיבה),Central
"כרם מהר""ל",Haifa
כרם שלום,Southern
כרמי יוסף,Central
כרמי צור,Judea and Samaria
כרמי קטיף,Southern
כרמיאל,Northen
כרמיה,Southern
כרמייה,Southern
כרמים,Southern
עיר כרמל,Haifa
כרמל,Judea and Samaria
לבון,Northen
לביא,Northen
לבנים,Northen
להב,Southern
להבות הבשן,Northen
להבות חביבה,Haifa
להבים,Southern
לוד,Central
לוזית,Jerusalem
לוחמי הגיטאות,Northen
לוטם,Northen
לוטן,Southern
לימן,Northen
לכיש,Southern
לפיד,Central
לפידות,Northen
לקיה,Southern
"מ. א. מטה יהודה	",Jerusalem
מ. א. הגליל העליון,Northen
מ. א. נחל שורק,Central
מאור,Haifa
מאיר שפיה,Haifa
מבוא ביתר,Jerusalem
מבוא דותן,Judea and Samaria
מבוא חורון,Judea and Samaria
מבוא חמה,Northen
מבוא מודיעים,Central
מבואות ים,Central
מבואות יריחו,Judea and Samaria
מבועים,Southern
מבטחים,Southern
מבקיעים,Southern
מבשרת ציון,Jerusalem
מגאר,Northen
מג'ד אל-כרום,Northen
מגדים,Haifa
מגדל,Northen
מגדל העמק,Northen
מגדל עוז,Judea and Samaria
מג'דל שמס,Northen
מגדל תפן,Northen
מגדלים,Judea and Samaria
מגידו,Northen
מגל,Haifa
מגן,Southern
מגן שאול,Northen
מגשימים,Central
מידרך עוז,Northen
מדרך עוז,Northen
מדרשת בן גוריון,Southern
מדרשת רופין,Central
מודיעין עילית,Judea and Samaria
מודיעין מכבים רעות,Central
מולדת,Northen
מוצא עילית,Jerusalem
מוקייבלה,Northen
מורן,Northen
מורשת,Northen
מזור,Central
מזכרת בתיה,Central
מזרע,Northen
מזרעה,Northen
מחולה,Judea and Samaria
מחנה יתיר,Southern
מחניים,Northen
מחסיה,Jerusalem
מטולה,Northen
מטע,Jerusalem
מי עמי,Haifa
מיטב,Northen
מייסר,Haifa
מיצר,Northen
מירב,Northen
מירון,Northen
מישר,Central
מיתר,Southern
מכורה,Judea and Samaria
מכחול,Southern
מכמורת,Central
מכמנים,Northen
מלאה,Northen
מלילות,Southern
מלכיה,Northen
מלכישוע,Northen
מנוחה,Southern
מנוף,Northen
מנות,Northen
מנחמיה,Northen
מנרה,Northen
מנשית זבדה,Northen
מסד,Northen
מסדה,Northen
מסילות,Northen
מסיליה,Judea and Samaria
מסילת ציון,Jerusalem
מסלול,Southern
מסעדה,Northen
מעברות,Central
מעגלים,Southern
מעגן,Northen
מעגן מיכאל,Haifa
מעוז חיים,Northen
מעון,Judea and Samaria
מעונה,Northen
מעיין ברוך,Northen
מעיין צבי,Haifa
מעיליא,Northen
מעלה אדומים,Judea and Samaria
מעלה אפרים,Judea and Samaria
מעלה גלבוע,Northen
מעלה גמלא,Northen
מעלה החמישה,Jerusalem
מעלה לבונה,Judea and Samaria
מעלה מכמש,Judea and Samaria
מעלה עירון,Haifa
מעלה עמוס,Judea and Samaria
מעלה שומרון,Judea and Samaria
מעלות תרשיחא,Northen
מענית,Haifa
מעש,Central
מפלסים,Southern
"מפעלי אבשלו""ם",Southern
מפעלי ברקן,Judea and Samaria
מפעלי גליל עליון,Northen
מפעלי גרנות,Haifa
מפעלי העמק (יזרעאל),Northen
מפעלי חבל מודיעים,Central
מפעלי ים המלח(סדום),Southern
מפעלי כנות,Southern
מפעלי מישור רותם,Southern
מפעלי מעון,Southern
מפעלי נחם הרטוב,Jerusalem
מפעלי צומת מלאכי,Southern
מפעלי צין - ערבה,Southern
מפעלי צמח,Northen
מפעלי שאן,Northen
מצדות יהודה,Judea and Samaria
מצובה,Northen
מצליח,Central
מצפה,Northen
"מצפה אבי""ב",Northen
מצפה אילן,Haifa
מצפה יריחו,Judea and Samaria
מצפה נטופה,Northen
מצפה רמון,Southern
מצפה שלם,Judea and Samaria
מצר,Haifa
מקווה ישראל,Tel Aviv
מרגליות,Northen
מרום גולן,Northen
מרחב עם,Southern
מרחביה מושב,Northen
מרחביה קיבוץ,Northen
מרכז אזורי כדורי,Northen
מרכז אזורי מרום הגליל,Northen
מרכז אזורי משגב,Northen
מרכז אזורי שוהם,Central
"מרכז כ""ח",Northen
"מרכז מיר""ב*",Haifa
מרכז שפירא,Southern
משאבי שדה,Southern
משגב דב,Central
משגב עם,Northen
משהד,Northen
משואה,Judea and Samaria
משואות יצחק,Southern
משכיות,Judea and Samaria
משמר איילון,Central
משמר דוד,Central
משמר הירדן,Northen
משמר הנגב,Southern
משמר העמק,Northen
משמר השבעה,Central
משמר השרון,Central
משמרות,Haifa
משמרת,Central
משען,Southern
מתן,Central
מתת,Northen
מתתיהו,Judea and Samaria
נאות גולן,Northen
נאות הכיכר,Southern
נאות חובב,Southern
נאות מרדכי,Northen
נאות סמדר,Southern
נאעורה,Northen
נבטים,Southern
נגבה,Southern
נגוהות,Judea and Samaria
נהורה,Southern
נהלל,Northen
נהריה,Northen
נוב,Northen
נוגה,Southern
נווה,Southern
נווה אבות,Haifa
נווה אור,Northen
"נווה אטי""ב",Northen
נווה אילן,Jerusalem
נווה אילן*,Jerusalem
נווה איתן,Northen
נווה דניאל,Judea and Samaria
נווה זוהר,Southern
נווה זיו,Northen
נווה חריף,Southern
נווה ים,Haifa
נווה ימין,Central
נווה ירק,Central
נווה מבטח,Southern
נווה מיכאל,Jerusalem
חלמיש,Judea and Samaria
נווה צוף,Judea and Samaria
נווה שלום,Jerusalem
נועם,Southern
נוף איילון,Central
נצרת עילית,Northen
נוף הגליל,Northen
נופים,Judea and Samaria
נופית,Haifa
נופך,Central
נוקדים,Judea and Samaria
נורדיה,Central
נורית,Northen
נחושה,Jerusalem
נחל עוז,Southern
נחלה,Southern
נחליאל,Judea and Samaria
נחלים,Central
נחם,Jerusalem
נחף,Northen
נחשולים,Haifa
נחשון,Jerusalem
נחשונים,Central
נטועה,Northen
נטור,Northen
נטע,Southern
נטעים,Central
נטף,Jerusalem
ניין,Northen
"ניל""י",Judea and Samaria
ניצן,Southern
ניצן ב',Southern
ניצנה (קהילת חינוך),Southern
ניצני סיני,Southern
ניצני עוז,Central
ניצנים,Southern
ניר אליהו,Central
ניר בנים,Southern
ניר גלים,Central
"ניר דוד )תל עמל(	",Northen
"ניר ח""ן",Southern
ניר יפה,Northen
ניר יצחק,Southern
ניר ישראל,Southern
ניר משה,Southern
ניר עוז,Southern
ניר עם,Southern
ניר עציון,Haifa
ניר עקיבא,Southern
ניר צבי,Central
נירים,Southern
נירית,Central
נמל תעופה בן-גוריון,Central
נמרוד,Northen
נס הרים,Jerusalem
נס עמים,Northen
נס ציונה,Central
נעורים,Central
נעלה,Judea and Samaria
"נעמ""ה",Judea and Samaria
נען,Central
נערן,Judea and Samaria
נצר חזני,Central
נצר סרני,Central
נצרת,Northen
נשר,Haifa
נתיב הגדוד,Judea and Samaria
"נתיב הל""ה",Jerusalem
נתיב העשרה,Southern
נתיב השיירה,Northen
נתיבות,Southern
נתניה,Central
סאג'ור,Northen
סאסא,Northen
סביון*,Central
סגולה,Southern
סואעד (חמרייה)*,Northen
סולם,Northen
סוסיה,Judea and Samaria
סופה,Southern
סח'נין,Northen
סלמה,Northen
סלעית,Judea and Samaria
סמר,Southern
סנסנה,Judea and Samaria
סעד,Southern
סעוה,Southern
סער,Northen
ספיר,Southern
סתריה,Central
סתרייה,Central
עבדון,Northen
עברון,Northen
עגור,Jerusalem
ע'ג'ר,Northen
עד הלום,Southern
עדי,Northen
עדנים,Central
עוזה,Southern
עוזייר,Northen
עולש,Central
עומר,Southern
עופר,Haifa
עוצם,Southern
עזוז,Southern
עזר,Southern
עזריאל,Central
עזריה,Central
עזריקם,Southern
עטרת,Judea and Samaria
עידן,Southern
עידן הנגב,Southern
עיילבון,Northen
עיינות,Central
עילוט,Northen
עין איילה,Haifa
עין אל אסד,Northen
עין גב,Northen
עין גדי,Southern
עין דור,Northen
עין הבשור,Southern
עין הוד,Haifa
עין החורש,Central
עין המפרץ,Northen
"עין הנצי""ב",Northen
עין העמק,Northen
עין השופט,Northen
עין השלושה,Southern
עין ורד,Central
עין זיוון,Northen
עין חוד,Haifa
עין חצבה,Southern
עין חרוד (איחוד),Northen
עין חרוד (מאוחד),Northen
עין יהב,Southern
עין יעקב,Northen
"עין כרם-בי""ס חקלאי",Jerusalem
עין כרמל,Haifa
עין מאהל,Northen
עין נקובא,Jerusalem
עין עירון,Haifa
עין צורים,Southern
עין קנייא,Northen
עין ראפה,Jerusalem
עין שמר,Haifa
עין שריד,Central
עין תמר,Southern
עינת,Central
עיר אובות,Southern
עכו,Northen
עלומים,Southern
עלי,Judea and Samaria
עלי זהב,Judea and Samaria
עלמה,Northen
עלמון,Judea and Samaria
עמוקה,Northen
עמיחי,Judea and Samaria
עמינדב,Jerusalem
עמיעד,Northen
עמיעוז,Southern
עמיקם,Haifa
עמיר,Northen
עמנואל,Judea and Samaria
עמקה,Northen
עינב,Judea and Samaria
עספיא,Haifa
עפולה,Northen
עופרה,Judea and Samaria
עפרה,Judea and Samaria
עץ אפרים,Judea and Samaria
עצמון שגב,Northen
עראבה,Northen
עראמשה*,Northen
ערב אל נעים,Northen
ערד,Southern
ערוגות,Southern
ערערה,Haifa
ערערה-בנגב,Southern
עשרת,Central
עתלית,Haifa
עתניאל,Judea and Samaria
פארן,Southern
תעשיון ספיר,Southern
פארק תעשיות ספירים,Southern
פארק תעשיות עמק חפר,Central
פדואל,Judea and Samaria
פדויים,Southern
פדיה,Central
פוריידיס,Haifa
פוריה כפר עבודה,Northen
פוריה נווה עובד,Northen
פוריה עילית,Northen
פורת,Central
פטיש,Southern
פלך,Northen
פלמחים,Central
פני חבר,Judea and Samaria
פסגות,Judea and Samaria
פסוטה,Northen
"פעמי תש""ז",Southern
פצאל,Judea and Samaria
פקיעין בוקיעה,Northen
פקיעין חדשה,Northen
פרדס חנה כרכור,Haifa
פרדסיה,Central
פרוד,Northen
פרזון,Northen
פרי גן,Southern
פתח תקווה,Central
פתחיה,Central
צאלים,Southern
צביה,Northen
צבעון,Northen
צובה,Jerusalem
צוחר,Southern
צופייה,Central
צופים,Judea and Samaria
צופית,Central
צופר,Southern
צוקי ים,Central
צוקים,Southern
צור יגאל,Central
צור הדסה,Jerusalem
צור יצחק,Central
צור משה,Central
צור נתן,Central
צוריאל,Northen
צורית,Northen
ציפורי,Northen
צלפון,Jerusalem
צנדלה,Northen
צפרייה,Central
צפרירים,Jerusalem
צפת,Northen
צרופה,Haifa
צרעה,Jerusalem
קבוצת יבנה,Central
קדומים,Judea and Samaria
קדימה צורן,Central
קדמה,Southern
קדמת צבי,Northen
קדר,Judea and Samaria
קדרון,Central
קדרים,Northen
קוממיות,Southern
קורנית,Northen
קטורה,Southern
קיסריה,Haifa
קלחים,Southern
קליה,Judea and Samaria
קלנסווה,Central
קלע,Northen
קציר,Haifa
קצר א-סר,Southern
קצרין,Northen
קרית אונו,Tel Aviv
קרית ארבע,Judea and Samaria
קרית אתא,Haifa
קרית ביאליק,Haifa
קרית גת,Southern
קרית חיים,Haifa
קרית חינוך מרחבים*,Southern
קרית טבעון,Haifa
קרית ים,Haifa
קרית יערים,Jerusalem
קריית יערים )מוסד(,Jerusalem
קרית יערים)מוסד(,Jerusalem
קרית מוצקין,Haifa
קרית מלאכי,Southern
קרית נטפים,Judea and Samaria
קרית ענבים,Jerusalem
קרית עקרון,Central
קרית שלמה,Central
קרית שמונה,Northen
קרית חינוך עזתה,Southern
קרית תעופה,Central
קרני שומרון,Judea and Samaria
קשת,Northen
ראמה,Northen
ראס אל-עין,Northen
ראס עלי,Haifa
ראש העין,Central
ראש פינה,Northen
ראש צורים,Judea and Samaria
ראשון לציון,Central
רבבה,Judea and Samaria
רבדים,Southern
רביבים,Southern
רביד,Northen
רגבה,Northen
רגבים,Haifa
רהט,Southern
רווחה,Southern
רוויה,Northen
רוח מדבר,Southern
רוחמה,Southern
רומאנה,Northen
רומת הייב,Northen
רועי,Judea and Samaria
רותם,Judea and Samaria
רחוב,Northen
רחובות,Central
רחלים,Judea and Samaria
ריחאנייה,Northen
ריחן,Judea and Samaria
ריינה,Northen
רימונים,Judea and Samaria
רינתיה,Central
רכסים,Haifa
רם און,Northen
רמות,Northen
רמות השבים,Central
רמות מאיר,Central
רמות מנשה,Northen
רמות נפתלי,Northen
רמת אפעל,Tel Aviv
רמלה,Central
"כפר אז""ר",Tel Aviv
רמת גן,Tel Aviv
רמת דוד,Northen
רמת הכובש,Central
רמת השופט,Northen
רמת השרון,Tel Aviv
רמת יוחנן,Haifa
רמת ישי,Northen
רמת מגשימים,Northen
רמת צבי,Northen
רמת רזיאל,Jerusalem
רמת רחל,Jerusalem
רנן,Southern
רעים,Southern
רעננה,Central
רקפת,Northen
רשפון,Central
רשפים,Northen
רתמים,Southern
שאר ישוב,Northen
שבי דרום,Southern
שבי ציון,Northen
שבי שומרון,Judea and Samaria
שבלי - אום אל-גנם,Northen
שגב שלום,Southern
שדה אילן,Northen
שדה אליהו,Northen
שדה אליעזר,Northen
שדה בוקר,Southern
שדה דוד,Southern
שדה ורבורג,Central
שדה יואב,Southern
שדה יעקב,Northen
שדה יצחק,Haifa
שדה משה,Southern
שדה נחום,Northen
שדה נחמיה,Northen
שדה ניצן,Southern
שדה עוזיהו,Southern
שדה צבי,Southern
שדות ים,Haifa
שדות מיכה,Jerusalem
שדי אברהם,Southern
שדי חמד,Central
שדי תרומות,Northen
שדמה,Central
שדמות דבורה,Northen
שדמות מחולה,Judea and Samaria
